Time	A470	A350	A340	A330	A320	A310	A300	
0.148037	0.0136577	0.154183	0.229029	0.343587	0.535287	0.853656	1.5281
0.149487	0.013706	0.154047	0.228839	0.342983	0.534244	0.851976	1.52595
0.150937	0.0137198	0.153987	0.22862	0.342483	0.533309	0.850499	1.52369
0.1524	0.0135926	0.153843	0.228275	0.341828	0.532326	0.848771	1.5218
0.153875	0.0136518	0.153709	0.228179	0.341503	0.531262	0.84712	1.51997
0.15535	0.0137318	0.153643	0.227797	0.340914	0.530263	0.845486	1.51791
0.15685	0.0135823	0.153452	0.2276	0.340429	0.529291	0.843834	1.51586
0.15835	0.0137356	0.153368	0.227368	0.340007	0.528279	0.842252	1.51384
0.159863	0.0135746	0.153201	0.227109	0.339312	0.527369	0.84063	1.51178
0.161388	0.0135339	0.153078	0.22684	0.338921	0.526263	0.838859	1.51
0.162925	0.013667	0.153033	0.226617	0.338339	0.525276	0.837378	1.50741
0.164463	0.0134859	0.152867	0.226305	0.337894	0.524412	0.835781	1.50591
0.166025	0.0135733	0.152694	0.226105	0.337436	0.523402	0.834132	1.50397
0.167588	0.0135767	0.152623	0.225882	0.336814	0.522389	0.832666	1.50194
0.169162	0.0134393	0.152544	0.225616	0.336359	0.521553	0.83094	1.49961
0.17075	0.0135224	0.152465	0.225413	0.335937	0.520501	0.829379	1.49773
0.17235	0.0135851	0.152373	0.225174	0.335414	0.519627	0.827764	1.49566
0.173963	0.0134551	0.152121	0.224897	0.334958	0.5187	0.826294	1.49391
0.175588	0.0135671	0.152033	0.224753	0.334356	0.517685	0.824625	1.49201
0.177225	0.0134969	0.152005	0.224418	0.333877	0.516769	0.823075	1.49012
0.178862	0.0134477	0.151819	0.224282	0.333402	0.515731	0.821509	1.48817
0.180525	0.0135318	0.151789	0.224036	0.332957	0.514782	0.82003	1.48597
0.182187	0.0134439	0.151562	0.22371	0.332463	0.513992	0.818479	1.48408
0.183863	0.0134158	0.151474	0.223532	0.332021	0.513007	0.816855	1.48231
0.185563	0.0133804	0.151506	0.223345	0.331499	0.512117	0.815421	1.48042
