Time	S1	S2	S3	
0.980287	0.00788337	0.0944003	0.309165	
0.987487	0.00791153	0.0944024	0.309081	
0.99475	0.00788369	0.0944027	0.30902	
1.00206	0.00788862	0.0943883	0.308823	
1.00943	0.00793715	0.0944106	0.308755	
1.01684	0.00788836	0.0944512	0.308575	
1.0243	0.00794667	0.0944516	0.308477	
1.03182	0.00793043	0.0944254	0.308384	
1.03939	0.00792932	0.0944214	0.308271	
1.04701	0.00794382	0.0944236	0.308183	
1.05469	0.00793491	0.0944311	0.308009	
1.06241	0.00796605	0.0944304	0.307877	
1.07019	0.00794915	0.0944361	0.307775	
1.07802	0.0079975	0.0944197	0.307677	
1.08591	0.00796713	0.0944197	0.307577	
1.09385	0.00798946	0.0943955	0.307428	
1.10185	0.0080254	0.0943737	0.307309	
1.10991	0.00798767	0.0944032	0.30713	
1.11801	0.00797562	0.0944641	0.30703	
1.12619	0.00799711	0.0944381	0.306875	
1.1344	0.00801796	0.0944475	0.306733	
1.14269	0.00801865	0.0944183	0.306657	
1.15103	0.00802456	0.0944398	0.306506	
1.15941	0.00803648	0.0944194	0.306399	
1.16786	0.00804412	0.0944638	0.306249	
1.17638	0.00804581	0.0944114	0.306154	
1.18495	0.00803721	0.094429	0.306031	
1.19358	0.00808349	0.0944446	0.305877	
1.20226	0.00809352	0.0944325	0.305743	
1.21101	0.00811549	0.0944195	0.305616	
1.21983	0.00809196	0.0944225	0.305527	
1.2287	0.00815428	0.0944409	0.305397	
1.23763	0.00815278	0.0944117	0.305197	
1.24662	0.00815465	0.0944073	0.305073	
1.25569	0.00815964	0.0943958	0.304927	
1.2648	0.00818003	0.0943689	0.304809	
1.27399	0.00822034	0.0943713	0.304617	
1.28324	0.00820757	0.0943957	0.304487	
1.29254	0.0082416	0.0943806	0.304317	
1.30192	0.00822675	0.0943883	0.304187	
1.31136	0.0082769	0.0943478	0.304035	
1.32086	0.0082378	0.0943959	0.303902	
1.33044	0.00825648	0.094357	0.303773	
1.34008	0.00821184	0.0944009	0.303606	
1.34977	0.00825162	0.0944453	0.303435	
1.35955	0.00825817	0.0944071	0.303332	
1.36939	0.00829904	0.0943785	0.303146	
1.3793	0.00829679	0.0944096	0.303024	
1.38927	0.0083212	0.0944028	0.302867	
1.39933	0.00832062	0.0944437	0.30274	
1.40944	0.00834796	0.0943807	0.302548	
1.41963	0.00832334	0.094422	0.302417	
1.42988	0.00837524	0.0944035	0.302254	
1.44021	0.00837672	0.0943909	0.302085	
1.4506	0.00837247	0.0944232	0.301934	
1.46107	0.00838482	0.0943755	0.301752	
1.47162	0.00840617	0.0943903	0.301566	
1.48224	0.00840393	0.0944095	0.301399	
1.49293	0.00840557	0.0944133	0.301237	
1.50369	0.00834751	0.0943799	0.301064	
1.51453	0.00835339	0.0944462	0.300889	
1.52545	0.00838672	0.0944592	0.300735	
1.53644	0.00840504	0.0944222	0.300584	
1.5475	0.00840652	0.0944347	0.300426	
1.55864	0.00840807	0.094461	0.300262	
1.56986	0.00842966	0.0944588	0.300096	
1.58116	0.0084366	0.0944448	0.299925	
1.59254	0.00848042	0.0944532	0.299778	
1.60399	0.00846688	0.0944319	0.299609	
1.61553	0.00848134	0.0944196	0.299414	
1.62714	0.0084965	0.0943964	0.299263	
1.63884	0.00850758	0.0943971	0.299048	
1.65061	0.00849565	0.0944012	0.298844	
1.66246	0.00847931	0.0943982	0.29867	
1.67441	0.00848995	0.0944562	0.29848	
1.68642	0.00848351	0.0944567	0.298333	
1.69854	0.00848982	0.0944541	0.29815	
1.71072	0.00849898	0.0944207	0.29802	
1.723	0.00852268	0.0944494	0.297825	
1.73536	0.00850848	0.0944754	0.297657	
1.7478	0.0085282	0.0944834	0.297434	
1.76034	0.00855938	0.0944724	0.297311	
1.77295	0.00856846	0.0944587	0.297076	
1.78566	0.00857469	0.0944548	0.29695	
1.79845	0.00861026	0.0944378	0.296744	
1.81134	0.00859809	0.0943875	0.296539	
1.8243	0.0085983	0.0944258	0.296359	
1.83736	0.00862407	0.0944402	0.296166	
1.85051	0.00862095	0.0944343	0.295959	
1.86376	0.00860144	0.0944008	0.295788	
1.8771	0.00860883	0.09443	0.295609	
1.89052	0.00861551	0.0944658	0.295424	
1.90405	0.00864501	0.0944657	0.295244	
1.91766	0.00863365	0.094444	0.295094	
1.93136	0.0086749	0.0944743	0.294921	
1.94518	0.00869249	0.0944469	0.294712	
1.95907	0.00867989	0.0944374	0.294549	
1.97306	0.00870311	0.094426	0.294348	
1.98716	0.00871914	0.0944383	0.294167	
2.00135	0.00873482	0.0944101	0.293961	
2.01564	0.00872217	0.0944339	0.293751	
2.03003	0.00872801	0.0944137	0.293595	
2.04451	0.00871428	0.094432	0.293406	
2.0591	0.00869365	0.0944664	0.293215	
